Produto,Laboratorio
CLO PROPRANOLOL MG,TEUTO BRASILEIRO
NEVRALGEX DIP,CIMED
MELACLEAR ADVANCED,ISDIN
SENSILATTE,PRATI DONADUZZI
DERMOVANCE CALM,FQM GRUPO
LEVOFLOXACINO MG,HALEXISTAR
MES.IMATINIBE MG,CRISTALIA
DIXIL,EUROFARMA
CLANISTIL,NEO QUIMICA
ACICLOVIR MG,BLAU FARMACEUTICA
ALBENDAZOL SUSP MG,EMS PHARMA
PITAVAS CALCICA MG,EUROFARMA
HUMALOG MIX 25,LILLY
ETODOLACO MG,GERMED PHARMA
TACE,CRISTALIA
FRUTAXX,UNIAO QUIMICA F N
LACTUGOLD,ARTE NATIVA PROD
MUCOFAN,UNIAO QUIMICA F N
ROSUVASTATI CAL MG,ACHE
MASFEROL,NATULAB
BELOTERO INTENSE,MERZ
DICLOFENACO SOD.MG,EMS PHARMA
BENETOSSE,HYPERA CH
ENDOFER,BIOLAB-SANUS FARMA
ARTROGEN PLUS D,ACHE
TEROCOXI,CRISTALIA
GRANADO,GRANADO
OLANZAPINA MG,NOVA QUIMICA
NEOSORO FLUID A VO,NEO QUIMICA
LEFOR,EMS PHARMA
LOZEPREL,MULTILAB
CETORO.TROMETAM.MG,GERMED PHARMA
ACETON.TRIANCIN.MG,GERMED PHARMA
CUBICIN,MERCK SHARP DOHME
EVOCLASS,FARMARIN I CO LTDA
MAL.DEXCLO+BETA.MG,GERMED PHARMA
HEMIFUM BISOPRO MG,PHARLAB
GLIMEPIRIDA MG,EUROFARMA
BESIL LEVANLODI MG,BIOLAB-SANUS FARMA
EZETIMIBA MG,NEO QUIMICA
ZAFOLAT PLUS,ABBOTT EPD
MAT PERFECT,AVENE
ALGE.AC+ENA.EST.MG,EUROFARMA
EQUALIV VITAMINA C,ALTHAIA S/A
NUTRADEICA,ISDIN
CINATREX,CIFARMA
OPTIRAY,GUERBET
HISCONGEX,NEO QUIMICA
EPIDRAT HYALU,MANTECORP FARMASA
CLO PROPRANOLOL MG,NEO QUIMICA
NEUREXAN,HEEL BRASIL B LTDA
HALOBEX,MANTECORP FARMASA
DIAZEPAM MG,NEO QUIMICA
ALERGALIV,LEGRAND
LUMIER FORCE,UNIAO QUIMICA F N
CLOR TERB CREME MG,EMS PHARMA
SOL RINGER,HALEXISTAR
TANSUDART,GSK
FAMPYRA,BIOGEN
TOS SORAFENIBE MG,ACCORD FARMACEUTIC
MATIZ,EUROFARMA
HEMODASE,VITAMEDIC
PREDNISONA MG,UNIAO QUIMICA F N
PURINETHOL,ASPEN PHARMA
UMAN ALBUMIN,KEDRION BRASIL
RISEDRONATO SOD.MG,GERMED PHARMA
COLPIST MT,ARESE
BACINA,BELFAR
BYLVAY,BEAUFOR IPSEN LTDA
ARULATAN,BAUSCH & LOMB
NEOSTRATA,KENVUE
DESLORATADINA MG,TEUTO BRASILEIRO
NUTRISON P PLUS MF,DANONE MEDICAL NUT
HYALURON ACTIV B3,AVENE
ZIRVIT VITA,ARESE
CLOR. LIDOCAINA MG,HYPOFARMA
VALER.BETAMETA.MG,NEO QUIMICA
POLARADEX,NATULAB
CLOPIDOGREL MG,EMS PHARMA
RIVACRIST,ABBOTT EPD
PARICALCITOL MG,ACCORD FARMACEUTIC
NUROMOL,RECKITT BENCKISER
ACU FRESH G,GEOLAB
OLSAR,EUROFARMA
SULFATO MAGNESIO,SAMTEC
CLOR.SERTRALINA MG,ACHE
REGENESIS PRE,EXELTIS
CRONOPLEX,UNIAO QUIMICA F N
DIVALPRO SODIO MG,ZYDUS BRASIL
PRALIVIO,CIMED
ZINA ODT,EUROFARMA
HISBILA,EUROFARMA
CLO VENLAFAXINA MG,NOVA QUIMICA
NUTRISON ADV PROTI,DANONE MEDICAL NUT
ENAX,ARESE
NORVASC,VIATRIS
BUTILB.ESCOPOLA MG,FARMACE
SUPRAVIT C KIDS,HERTZ
BOSENTANA MG,RANBAXY
DORICIN,EMS PHARMA
PALOCYT,ACCORD FARMACEUTIC
NEXTER,ASSIFARMA
SIGMASPORIN MICROR,EMS PHARMA
VITA COLIN,SUPERA RX
RESOURCE T UP CLEA,NESTLE
COLATEN PLENNE,MARJAN
PRAZY,LEGRAND
TIBOLONA MG,NOVA QUIMICA
CLOR.DONEPEZILA MG,TORRENT
ARTRITEC,PHARLAB
POWER MAX PREMIUM,PAGUE MENOS
AEROGOLD,GLENMARK
LAVITAN CALCIO+D,CIMED
CLENIL COMPOSI HFA,CHIESI FARMACEUTIC
DRUSE,CRISTALIA
LACOTEM,ADIUM
CONDRIGEN,MAXINUTRI
SAL AMARGO PURIFIC,CATARINENSE PHARMA
BENZODERM,PHARMASCIENCE LAB
DEMI D,FQM GRUPO
COLFLEX MUSCULAR,MANTECORP FARMASA
MEDATO,EUROFARMA
SOCIAN,SANOFI
TAMARINE FIBRA KID,HYPERA CH
AVAL,SUPERA RX
BIFILAC LIPID,MANTECORP FARMASA
FAMOX SUSPENSAO,ACHE
SUL VINCRISTINA MG,BERGAMO
CLOTRI+AC.DEXAM.MG,GERMED PHARMA
ISOSOURCE SOYA FIB,NESTLE
RUNNER,ACHE
PARAMOL,BELFAR
VALSAR+HIDROCL MG,TORRENT
FISIOGEL SAB LIQD,MEGALABS
CLARITIN,BAYER CC
RISPERIDONA MG,SANDOZ
CEFTAZIDON,BLAU FARMACEUTICA
BINAV,BLANVER
BROMOPRIDA MG,AIRELA IND FARM
CETOCONAZOL CPR MG,CIMED
GINO COLON,GEOLAB
HEMOVIRTUS,NEO QUIMICA
SCALID,UNIAO QUIMICA F N
ESOMEPRAZOL MAG MG,LEGRAND
TRIANE,ASSIFARMA
TRYPSONE,GRIFOLS BRASIL LTD
ACET.HIDROCORTI.MG,UNIAO QUIMICA F N
DOMPERIDONA MG,GERMED PHARMA
ADACNE CLIN,MANTECORP FARMASA
ACTINE ULTRA,DARROW
SECNIMAX,GLOBO
DERMOBAN,CAZI
LANZOPEPT,GEOLAB
CLOR.DOXORRUBIC.MG,EUROFARMA
CLEANANCE COMEDOME,AVENE
BETACRIS,CRISTALIA
CLOR. AMBROXOL MG,ACHE
FOTOPROTETOR ULTRA,ISDIN
CLOR NEBIVOLOL MG,NEO QUIMICA
FLUIMUCIL INJETAVE,ZAMBON
KETOCAL 4.1,DANONE MEDICAL NUT
FLUTIVATE,STIEFEL
PANTOPRAP.SO SE MG,LEGRAND
ZIRVIT KIDS MAX,ARESE
BORTEZOMIBE MG,SUN PHARMA
DESOGES+ETINILE.MG,EUROFARMA
CONCOR ANLO,MERCK
MINEL,ARESE
RIZI,MANTECORP FARMASA
CETAPHIL PRO UREIA,GALDERMA
DIENOGESTE MG,EMS PHARMA
SOF D,ABBOTT EPD
MALEATO TIMOLOL MG,EMS PHARMA
PIROXICAM MG,EMS PHARMA
BUPIUM,EMS PHARMA
REBRIVE,EUROFARMA
PROGRESS,ACHE
BWELL VITAMINA C,RAIA DROGASIL
HIDROXIUREIA MG,BLAU FARMACEUTICA
PROP.CLOBETASOL MG,MEDLEY
SIMETICONA MG,GLOBO
LIPOSIC,BAUSCH & LOMB
ADCOS DERMA COMPLE,ADCOS
CLOR.CIPROFLOXA.MG,GLOBO
ESPASMO FLATOL,LEGRAND
GABA ER,EUROFARMA
LUMIGAN,ALLERGAN
VICK PASTILHA,P&G HEALTHCARE
CARBAMAZEPINA MG,EMS PHARMA
RISPERIDONA MG,GERMED PHARMA
CLOR.MEMANTINA MG,EUROFARMA
AMICORED,CASULA VASCONCELOS
INVOKANA,JANSSEN CILAG
BIO-VAGIN,ADIUM
BROMOPRIDA MG,GERMED PHARMA
DUEKAL,BRACE PHARMA
CANNABIS SATIVA,HERBARIUM
FONT D OTC,UNIAO QUIMICA F N
HEPATOVIT,VITAMEDIC
HIDROQUINONA MG,GERMED PHARMA
CLO PIOGLITAZO MG,NOVA QUIMICA
LANSINOH,LANSINOH LABORAT
LEUSTATIN,JANSSEN CILAG
FEMOSTON CONTI,ABBOTT EPD
AC.ACETIL-SALIC MG,EUROFARMA
PEIXONIX,MAXINUTRI
LEVETIRACETAM MG,AUROBINDO PHARMA
ALGE.AC+ENA.EST.MG,GERMED PHARMA
CLO BUPIVACAINA MG,HYPOFARMA
GROW D KIDS,CIFARMA
GROW FERRO,CIFARMA
OLMY HCT,BRACE PHARMA
ACULAR LS,ALLERGAN
ATROFARMA,FARMACE
ETORICOXIBE MG,GERMED PHARMA
OXALIPLATINA MG,BERGAMO
DIVALPRO SODIO MG,RANBAXY
CETAPHIL BARRA,GALDERMA
SANILIN,HERTZ
FILTRUM COLOR,LIBBS
CLO HIDROXIZINA MG,GLOBO
PIOTAZ,BRACE PHARMA
COGIT,BIOLAB-SANUS FARMA
CLOR.PAROXETINA MG,GEOLAB
OLMES ME+HIDROC MG,NEO QUIMICA
LORATADINA MG,GEOLAB
ARTELAC SPLASH MDO,BAUSCH & LOMB
BIFILAC MIND,MANTECORP FARMASA
GLICOSE,FARMACE
ONCILEG,LEGRAND
AC ZOLEDRONICO MG,EUROFARMA
CLOR.DONEPEZILA MG,EMS PHARMA
NOVALGINA INJETAVE,SANOFI CHC
DOCLAXIN,BLAU FARMACEUTICA
APTAMIL 3,DANONE BABY NUTRIT
BROM CITALOPRAM MG,TEUTO BRASILEIRO
ANAFRANIL SR,SANDOZ
DEPRASIL,CRISTALIA
CLOR.DONEPEZILA MG,GEOLAB
FASTURTEC,GENZYME
BROM CITALOPRAM MG,TORRENT
PROTOPIC,LEO PHARMA
BIO SOAK,TEUTO BRASILEIRO
AXETIL CEFUROXI.MG,NEO QUIMICA
CLO GENCITABINA MG,ACCORD FARMACEUTIC
RIFAMICINA MG,EMS PHARMA
TAM,SUPERA RX
BROMOPRIDA MG,UNIAO QUIMICA F N
TIBSOVO,SERVIER DO BRASIL
CLOR.TANSULOSI MG,BIOLAB-SANUS FARMA
FOSAMAX D,ORGANON
EPIDRAT MAT,MANTECORP FARMASA
DICLOFARMA,FARMACE
FLENUS,ARESE
DESONIDA MG,GERMED PHARMA
DERMAZINE,CRISTALIA
SIMETICONA,MULTILAB
OXACILINA SODIC.MG,AUROBINDO PHARMA
TRANSPULMIN NF,ACHE
CALCEOS KIDS,MYRALIS
CLAZI XR,BRACE PHARMA
APRAZ,MANTECORP FARMASA
KELO-COTE UV,FQM GRUPO
MONTELUCASTE SO MG,ACHE
XALANOFT,GBIO
ALKERAN,ASPEN PHARMA
EXPLEND,EXPLEND NUTRACEUTI
BWELL DI-MAGNE MAL,RAIA DROGASIL
ADILOZ,EMS PHARMA
REUPLAQ,EUROFARMA
KURAMED SEPT,CIMED
DEFULL,BRASTERAPICA
VIVACITA GOLD,PROMOFARMA
VITAMINA D,EUROFARMA
ESMERON,MERCK SHARP DOHME
QUELATUS MULHER,EUROFARMA
EVORUBICIN,FARMARIN I CO LTDA
CAPY,USK DERMATOLOGY
PANTOPRAZOL MG,NEO QUIMICA
RISPERIDONA MG,TEUTO BRASILEIRO
DERMAGE PHOTOAGE,DERMAGE
ACET.HIDROCORTI.MG,TEUTO BRASILEIRO
TOPAMAX,CELLERA FARMA
CENTRUM GENDER,HALEON
LESTALGYN,TEUTO BRASILEIRO
TANDERALGIN,CELLERA FARMA
CARBOCISTEINA MG,PRATI DONADUZZI
DORFLEX DIP,SANOFI CHC
CURCUMA PLUS,VITAFOR
LEXIN,TEUTO BRASILEIRO
NITRA.MICONAZOL MG,CIMED
SAL ANDREWS,HALEON
FIPRIMA,EUROFARMA
LACASS,ARESE
GLICEL,BRASTERAPICA
PLURAIR,LIBBS
ONBRIZE,NOVARTIS
DAIVONEX,LEO PHARMA
PROVANCE IMUNE,ACHE
PHOTOAGE WATER,DERMAGE
DELTAMETRIL D,MEDQUIMICA
SULF.NEOM+BACIT.MG,UNIAO QUIMICA F N
SECNIDAZOL MG,GLOBO
MAGMAX,NATULAB
AURIS SEDINA,OSORIO MORAES
ISOFLURANO MG,BIOCHIMICO
BELFACTRIN,BELFAR
HELIOMAX,FQM GRUPO
SYMDULOR SL,ADIUM
NAIRE,EUROFARMA
POLYFARMA,POLYFARMA
MOMENTOS,MERAKI FARMA
ALPRAZOLAM MG,LEGRAND
DIC HIDROXIZINA MG,NOVA QUIMICA
CIPROFIBRATO MG,GEOLAB
HEM.QUETIAPINA MG,NOVARTIS
LAMOTRIGINA MG,PRATI DONADUZZI
AZTREONAM MG,BIOCHIMICO
TRIADE MAIS,GROSS
CELAMINA SHAMPOO,MANTECORP FARMASA
UMIDITA INFANTIL,LIBBS
MOTIX POM,FQM GRUPO
NISTATINA MG,EMS PHARMA
COLFLEX COMPLET,MANTECORP FARMASA
IMECALCIO,NUTIVIT
DOXICLIN,PHARLAB
FLEX ENEMA,AIRELA IND FARM
CROMOLERG,ALLERGAN
GESTAMAX PLUS,MANTECORP FARMASA
MIGRALIV,EMS PHARMA
DENSIFIANT,ACHE
CLO TRAZODONA MG,NOVA QUIMICA
IMECAP ACTSUN,FQM GRUPO
VEQUILE,SANDOZ
HIDROQUINONA MG,EMS PHARMA
FERTISOP,MYRALIS
SARCOPORE,BIOLAB-SANUS FARMA
ADCOS F AQUA FLUID,ADCOS
AC DEXAMETASONA MG,TEUTO BRASILEIRO
DORAGEO,GEOLAB
FERID,UNIAO QUIMICA F N
FLUCONAZOL MG,HALEXISTAR
CEFAZOLINA SODI MG,FRESENIUS KABI
TEMOZOLOMIDA MG,EUROFARMA
MOLICO LEITE,NESTLE
GABANEURIN,BRACE PHARMA
DERCOS ENERGIZANTE,VICHY
ANGIPRESS,ACHE
RIVAROXABANA MG,PHARLAB
RIVAROXABANA MG,UNIAO QUIMICA F N
BETADINE,ACHE
CLOPIDOGREL MG,CIMED
CITALOPRAM MG,EUROFARMA
ONDSET,UNIAO QUIMICA F N
MAXINOM,UNIAO QUIMICA F N
TAR BRIMONIDINA MG,NEO QUIMICA
MAXIFLOX,CRISTALIA
OTOMIXYN,MULTILAB
AGLUCOSE,BRACE PHARMA
CARVEDILOL MG,GERMED PHARMA
PERSUR,MANTECORP FARMASA
FLAGYL,SANOFI
ATROVERAN HOT,HYPERA CH
ALTA D GOTAS,EUROFARMA
ACETILCISTEINA MG,UNIAO QUIMICA F N
GLINK MET,LIBBS
CLO TRAMA+PARAC MG,ZYDUS BRASIL
DOLOTRAT,BIONATUS
MAGMILK,AIRELA IND FARM
INPRUV D,APSEN
CETOCONAZOL SHA.MG,EMS PHARMA
RENALAPRIL,NEO QUIMICA
MALEAT.DEXCLORF.MG,NEO QUIMICA
CENTROGER,ECOFITUS LABORATOR
UNHASANA,HERTZ
OLANZAPINA MG,GERMED PHARMA
TRIAZOL,BIOLAB-SANUS FARMA
GIVLAARI,SPECI PHARMA GOIAS
VALSAR+HIDROCL MG,ACHE
DORSANOL,MULTILAB
LIZBI,HALEXISTAR
CLOR.TETRACICLI.MG,PRATI DONADUZZI
DESLORANA,LEGRAND
CLOR.MEMANTINA MG,PRATI DONADUZZI
OXIBERRY,UNIAO QUIMICA F N
TOTALVITA,TOTAL DISTRIBUIDOR
MIRADOR,NEO QUIMICA
ADENOSINA MG,HIPOLABOR
ACID.MEFENAMICO MG,EMS PHARMA
VERIFIK,ANALITIC TEC PREC
IBUPROFENO 600 MG,VITAMEDIC
IMUNOCRAN,HERBARIUM
CALDE MAG,MARJAN
ZINCOPRO,MARJAN
DOSS ZINCO,BIOLAB-SANUS FARMA
HICONAZOL,HALEXISTAR
CEFUROXIMA SOD.MG,BIOCHIMICO
APETIVITON BC,CIFARMA
PROBIATOP DA+,FQM GRUPO
SUCC.DESVENLAFA MG,NEO QUIMICA
OFTANE,ALCON
GABAPENTINA MG,AUROBINDO PHARMA
ACETILCISTEINA MG,PRATI DONADUZZI
PACLITAXEL MG,EUROFARMA
CL LIS+CL CICLO MG,EMS PHARMA
MOLIERI 30 S PARAR,EUROFARMA
ATORVASTATINA MG,GEOLAB
STRESSDORON,WELEDA
DOCTAR SALIC,DARROW
SOL GLICOFISIOLOGI,J.P.
MYLICON,KENVUE
PIPERACI+TAZOBA.MG,SANDOZ
VITA PREMIUM,VITA PREMIUM
CLOR.CIPROFLOXA.MG,NOVARTIS
SULFERBEL,BELFAR
HELIOCARE MAX DEFE,FQM GRUPO
DOCTAR FORCE,DARROW
NUTREN BEAUTY,NESTLE
BWELL MELA+L-TRIPT,RAIA DROGASIL
OSTEOFORM,EMS PHARMA
DESOGESTREL MG,GERMED PHARMA
OGESTAN PLUS,BESINS HEALTHCARE
AZITROMICINA MG,ACHE
LISDEV,EUROFARMA
REFORGAN,ZYDUS BRASIL
DECADRON NEOMICINA,ACHE
DELUMI ET,GEOLAB
GLICOISDIN,ISDIN
NEOFORTE,DANONE MEDICAL NUT
IBANDRONA SODIO MG,EUROFARMA
TOBRACIN,CRISTALIA
HIDRADEEP,ACHE
ONCILEG-A,LEGRAND
CAPTOPRIL MG,PRATI DONADUZZI
TREBYXAN,BERGAMO
ALBENDAZOL MG,CIMED
MELATONUM,MANTECORP FARMASA
SINUSTRAT,BIOLAB-SANUS FARMA
VITAMINA B12,LA SAN DAY PHARMA
POLICLAVUMOXIL,MULTILAB
BELPELE,FQM GRUPO
ATIP,SUPERA RX
CABAZRED,DR. REDDYS
MAL.DEXCLO+BETA.MG,NEO QUIMICA
CAPOX,GEOLAB
FAULDCITA,LIBBS
ROTEAS,ACHE
VANCOTRAT,UNIAO QUIMICA F N
PARACETA+CODE MG,NEO QUIMICA
DEFLAZACORTE MG,NOVA QUIMICA
HEDERA CIMED,CIMED
KYNTHEUM,LEO PHARMA
SPARK,EUROFARMA
CICLOPRIMOGYNA,BAYER PHARMA
ONTRAX,BLAU FARMACEUTICA
ARIPIPRAZOL MG,GLOBO
GEODON,VIATRIS
PROPILRACIL,BIOLAB-SANUS FARMA
AZACITIDINA MG,NATCOFARMA D BRASI
CIPROFIBRATO MG,GLOBO
CIT SILDENAFILA MG,PRATI DONADUZZI
CLOR.SERTRALINA MG,ZYDUS BRASIL
KAODINE,GEOLAB
CLO TERBINAFINA MG,GERMED PHARMA
CETOPROFENO MG,LEGRAND
CLAIR,ACHE
ONEGRIPE,CIMED
IRNO,CAMBER FARMACEUTIC
OSTEOFIX,NATULAB
ONDAVON,NEO QUIMICA
FRENO,CIMED
AMPICILINA+SULB.MG,VIATRIS
MESI.DOXAZOSINA MG,UNIAO QUIMICA F N
HYADROP,LEBON LABORATORIO
COCYNTAL,BOIRON
NUTILIS,DANONE MEDICAL NUT
ACICLOVIR MG,GERMED PHARMA
NOVOTRAM,MANTECORP FARMASA
LEPS ER,TORRENT
REDTIBIN,DR. REDDYS
MESI.DOXAZOSINA MG,SANDOZ
MESOTEM,CRISTALIA
PICBAM,MANTECORP FARMASA
AMPICILINA+SULB.MG,EUGIA PHARMA
DEXAMETASONA MG,FARMACE
SYSTEN SEQUI,THERAMEX
DICL PRAMIPEXOL MG,PRATI DONADUZZI
REGRESSA,ACHE
CLOR NEBIVOLOL MG,ACHE
ESCOPEN COMPOSTO,PHARLAB
SUCC SOLIFENACI MG,BIOLAB-SANUS FARMA
TIBOLONA MG,GERMED PHARMA
PLABEL,BELFAR
PURE VITAMIN C12,LA ROCHE POSAY
SEDAMED,CIMED
KELUAL DS,DUCRAY
OPTI FREE EXPRESS,ALCON
AMPICILINA MG,PRATI DONADUZZI
AMILIA REPAIR,THERASKIN
HEALTH LABS,HEALTH LABS
HYPOCINA COMPOSTA,HYPOFARMA
PHYTO CORRECTIVE,SKINCEUTICALS
GUACOFLUS,AIRELA IND FARM
BWELL MELATONINA,RAIA DROGASIL
BLANCY OLHOS NF,MANTECORP FARMASA
TIADOL,CELLERA FARMA
NORMASTIG,UNIAO QUIMICA F N
CAPTOPRIL MG,GEOLAB
CETOCONAZOL MG,TEUTO BRASILEIRO
TOPIRAMATO MG,SANDOZ
ANASTROLIBBS,LIBBS
HEMATOM,BIOLAB-SANUS FARMA
TRACUR,CRISTALIA
IBANDRONA SODIO MG,BIOLAB-SANUS FARMA
PROSIGNE,CRISTALIA
CANCIDAS,MERCK SHARP DOHME
DERMON,UNIAO QUIMICA F N
CETO+DIP BETAME MG,MEDLEY
DEXAVISON,TEUTO BRASILEIRO
CICLOPIROX OLAM.MG,GERMED PHARMA
BACLOFENO MG,TEUTO BRASILEIRO
ALEVO,SUPERA RX
NOXAFIL,MERCK SHARP DOHME
FLORENCE PRO,BIOLAB-SANUS FARMA
BACLOFEN,TEUTO BRASILEIRO
IVAHART,TORRENT
EFFACLAR DUO+M,LA ROCHE POSAY
BROM CITALOPRAM MG,PRATI DONADUZZI
HILUROPT MAX,GBIO
CURC AOX+,MANTECORP FARMASA
SNIF,EUROFARMA
NATAZY,CIFARMA
WINTER AP,DIFFUCAP-CHEMOBRAS
PROFUSE,ACHE
SELOZOK FIX,ASTRAZENECA BRASIL
GLICOSE,SAMTEC
ROCAB,EMS PHARMA
ETORICOXIBE MG,NEO QUIMICA
PLANTA GOLD,ARTE NATIVA PROD
EURYALE C,THERASKIN
NOUVE COLLAGEN HA,MANTECORP FARMASA
PROPIOSOL,NEO QUIMICA
PREGABALINA MG,GLOBO
VITAFER,EMS PHARMA
H.A. INTENSIFIER,SKINCEUTICALS
HALOPERIDOL MG,UNIAO QUIMICA F N
LABREA,CRISTALIA
CEBRILIN,LIBBS
AVIV,MANTECORP FARMASA
RE-HIDRABEN,MERAKI SOLUTION
METROFARMA,FARMACE
FUM QUETIAPINA MG,ZYDUS BRASIL
TOPIRAMATO MG,ZYDUS BRASIL
SINVASTATINA MG,LEGRAND
GENFIBROZILA MG,MEDLEY
AMOXI+CLAVU.POT.MG,CELLERA FARMA
EROXYM,EUROFARMA
PIDOMAG B3,BALDACCI
FLUCONID,VITAMEDIC
AGUA INGLESA,CATARINENSE PHARMA
LORATADINA MG,ACHE
DEXANEURIN,UNIAO QUIMICA F N
NEBACETIN BABY,HYPERA AQ T
LOSART.PO.+HCTZ MG,EMS PHARMA
CARBOCISTEINA MG,EMS PHARMA
OMEGA 3,D1000
CLOR MOXIFLOXA MG,EMS PHARMA
GRAV TEST CLICK,CIMED
POSLOV,CIFARMA
CARVEDILOL MG,LEGRAND
FINASTERIDA MG,NOVA QUIMICA
TRIPLOA,SUPERA RX
VECASTEN GEL,MARJAN
CLOR.PAROXETINA MG,EMS PHARMA
POWER VITA,PAGUE MENOS
SINUDORON,WELEDA
GLUNAC,BRACE PHARMA
CONIDRIN SALINAS,UNIAO QUIMICA F N
FUSOR,ACHE
DIVALPRO SODIO MG,ABBOTT EPD
SOCIAN 200,SANOFI
CIMEGRIP RUB,CIMED
TAKIL,MARJAN
GRANADO ANTISEPTIC,GRANADO
SUSTAGEN ADULTOS+,RECKITT BENCKISER
SANY D CALCIO,ACHE
FORTEN ENERGY,CHIESI FARMACEUTIC
V.BE+SU.G+TO+CL MG,GERMED PHARMA
DICLOFENACO SOD.MG,BELFAR
BICARBONATO SODIO,UNIPHAR
NEVRALPRO,CIMED
NEOVADIOL LEVE,VICHY
ACEBROFILINA MG,GERMED PHARMA
ANDROCUR,BAGO
ZYPREXA,CHEPLAPHARM
LEVTY,ACHE
CORYZALIA,BOIRON
UNIANORA,UNIAO QUIMICA F N
BIMATOPROSTA MG,MEDLEY
CITOBE DEXA,EUROFARMA
CIMETOSSE,CIMED
AC.CIPRO+ETINIL MG,MERCK
ESPINHEIRA SANTA,HERBARIUM
SECNIDAZOL MG,PHARLAB
BENZOILMETRONID.MG,EMS PHARMA
PLESONAX,NEO QUIMICA
NEROLOM,KRESS IND FARMOQ
PRECOL,ARESE
GLICENIX,GLOBO
MIRTAZAPINA MG,CIMED
BICALUTAMIDA MG,EUROFARMA
FLAVONID CREME,NEO QUIMICA
NOVOTRAM PAR,MANTECORP FARMASA
AKINETON,BAGO
GINESSE,FQM GRUPO
OMEPRAZOL MG,EMS PHARMA
UNI VIR,UNIAO QUIMICA F N
DESLORATADINA MG,NOVA QUIMICA
DUROGESIC D-TRANS,JANSSEN CILAG
AC DEXAMETASONA MG,UNIAO QUIMICA F N
SIMETICONA MG,NEO QUIMICA
ORTHOVISC,APSEN
MELATONUM COMPLETE,MANTECORP FARMASA
LEFLORA,AIRELA IND FARM
RUDITE,EMS PHARMA
SIMBIOFLORA MULTI,FQM GRUPO
MARACUGINA ME,HYPERA CH
ACEBROFILINA MG,GLOBO
DESRINITE,NEO QUIMICA
OLIGOVIT UP,ZYDUS BRASIL
CLO DEXMEDETOMI MG,VOLPHARMA
RISPERIDONA MG,EMS PHARMA
ESSENCELE,ACHE
ESCILEX,EMS PHARMA
BISURAN,EMS PHARMA
IBUPROFENO 600 MG,TEUTO BRASILEIRO
LOSART.PO.+HCTZ MG,SANDOZ
FREESTYLE LITE,ABBOTT
REVILINE R,MANTECORP FARMASA
PREDNISOLONA MG,LEGRAND
SETH,UNIAO QUIMICA F N
MIRTAZAPINA MG,GLOBO
CODEX,UNIAO QUIMICA F N
ASCORVIT C,MAXINUTRI
CITALOPRAM MG,EMS PHARMA
FLUXTAR SR,DIFFUCAP-CHEMOBRAS
DIVELOL,BALDACCI
ATENOLOL MG,NEO QUIMICA
GLYA,CRISTALIA
LORITIL,GEOLAB
GLICONIL,MEDQUIMICA
GANFORT UD,ALLERGAN
BETA-LONG,UNIAO QUIMICA F N
FAULDACAR,LIBBS
ROSUVASTATI CAL MG,UNIAO QUIMICA F N
CLOR.TIZANIDINA MG,RANBAXY
LACTOLINEA,CIMED
PROTENA PRO,ACHE
LAVITAN CALCIO+D3,CIMED
RELUZE,GBIO
EPISOL GOLD,MANTECORP FARMASA
TADALAFILA MG,PHARLAB
CARVEDILOL MG,MEDLEY
KLASSIS TX+,THERASKIN
GLOBOFLU,GLOBO
BENICAR ODT,DAIICHI SANKYO
BEM BASICO,D1000
CLOR.PAROXETINA MG,ZYDUS BRASIL
ANDANTOL,ACHE
OXYCONTIN,MUNDIPHARMA
TERIFLUNOMIDA MG,NATCOFARMA D BRASI
LAMOTRIGINA MG,MEDLEY
BWELL TRIPLA ACAO,RAIA DROGASIL
AMPICILINA+SULB.MG,EUROFARMA
PREVELIP ZS,BIOLAB-SANUS FARMA
PROMERGAN,BELFAR
MALEATO TIMOLOL MG,TEUTO BRASILEIRO
PARACETAMOL MG,GERMED PHARMA
OMEGATIVE PREMIUM,KRESS IND FARMOQ
NIT FENTICONA MG,EUROFARMA
DIGESTIL,TEUTO BRASILEIRO
ARTROMOBIL,CRISTALIA
BORTYZ,ACCORD FARMACEUTIC
CETOPROFENO MG,TEUTO BRASILEIRO
SENSIBIO DS+,BIODERMA
CLIMENE,UNIAO QUIMICA F N
NEUTROFER POLI,EMS PHARMA
CAMPTOSAR,PFIZER
SORALYT,SOBRAL
KLAVIE CLINICAL,THERASKIN
NITRA.MICONAZOL MG,TEUTO BRASILEIRO
MARACUGINA KIDS,HYPERA CH
NORFLOXACINO MG,MEDLEY
AC FUSI+VAL BET MG,NOVA QUIMICA
ULTIVA,ASPEN PHARMA
CAPSFEN,CIFARMA
ALASTIN,GALDERMA
EMBO,BIOLAB-SANUS FARMA
OLMESARTANA MED MG,EMS PHARMA
CLAIR CONCENTRE,ACHE
VASCOR MR,EUROFARMA
BACTERACIN,TEUTO BRASILEIRO
BWELL CO Q10+VIT E,RAIA DROGASIL
MONESSA,BIOLAB-SANUS FARMA
SOYFEMME,ACHE
VIDUP,NISSEI
SUPRA,HERBAMED
NEOSALDINA MUSCULA,HYPERA AQ T
AMOXI+CLAVU.POT.MG,NOVARTIS
ZAPSY,PRATI DONADUZZI
QUERA,CRISTALIA
ANGINO RUB,EUROFARMA
FINN,HYPERA CH
CALCITRAN B 12,FQM GRUPO
VALER.BETAMETA.MG,GERMED PHARMA
QUELATUS GEST,EUROFARMA
RIBOMUSTIN,JANSSEN CILAG
